JNPT,DD,29.13,49.07
JNPT,TICD,57.01,44.69
JNPT,CWCJ,47.13,44.77
JNPT,BNGD,13.22,44.42
JNPT,PNCS,30.49,44.44
JNPT,CSTN,95.7,44.51
JNPT,CCMP,56.18,44.17
JNPT,ICDD,68.23,44.21
JNPT,CCTB,28.16,44.06
JNPT,GRFV,32.57,44.56
JNPT,KTIG,5.83,44.41
JNPT,ICDM,89.67,44.22
JNPT,ACDA,56.43,44.21
JNPT,MKPP,88.73,44.47
JNPT,CCTA,21.74,44.44
JNPT,CGPT,41.28,44.06
JNPT,MATP,56.9,44.39
JNPT,DCCS,36.71,44.53
JNPT,CRNM,10.4,44.9
JNPT,HTPP,53.03,43.33
JNPT,CMCT,92.97,45.0
JNPT,CKYR,25.89,44.77
JNPT,ICMB,107.97,44.4
JNPT,GDGH,62.93,44.17
JNPT,ICDY,50.41,44.38
JNPT,ICBD,40.78,43.83
JNPT,ICDG,96.11,44.75
JNPT,MLSW,53.02,45.0
JNPT,CWCN,63.93,45.0
JNPT,MRWN,33.53,45.0
JNPT,DLIB,51.56,44.74
JNPT,ICDK,65.13,45.0
JNPT,RICD,30.73,44.0
JNPT,CRCC,27.46,43.85
JNPT,MILK,4.59,45.0
JNPT,HTSD,9.89,43.89
JNPT,IBBM,51.96,45.0
JNPT,DRTA,2.94,44.67
JNPT,KIFH,78.57,45.0
JNPT,DICD,61.81,44.0
JNPT,ICDS,33.69,45.0
JNPT,CMLK,73.67,45.0
JNPT,CRTK,14.13,43.75
JNPT,HZL,39.62,45.0
JNPT,LNN,51.43,45.0
JNPT,CGDM,41.42,45.0
JNPT,NTSJ,9.4,42.5
JNPT,DGFJ,30.67,45.0
JNPT,BTBR,56.03,49.0
